year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1962,262.5,0.72115386,0,15.6,2470.4788,6.7870297,-27.703001,26.711584,44.66626254,-107.9530022
1963,269.8,0.74120873,0,35.4,2954.658,8.117192,-29.00717,28.190748,44.66626254,-107.9530022
1964,371.7,1.0183562,0,34.2,2214.0842,6.0659842,-18.373835,29.430334,44.66626254,-107.9530022
1965,300.6,0.8258242,0,17.2,2162.7078,5.941505,-29.657167,27.765749,44.66626254,-107.9530022
1966,194.5,0.5343407,0,12.8,2785.2058,7.6516643,-15.496751,29.222,44.66626254,-107.9530022
1967,311.6,0.856044,0,25.5,2496.3184,6.8580174,-15.875916,25.669914,44.66626254,-107.9530022
1968,327.8,0.89808214,0,18.4,2148.1821,5.8854303,-19.3155,26.409498,44.66626254,-107.9530022
1969,280.2,0.7697803,0,24,2460.2556,6.758944,-22.709251,28.024084,44.66626254,-107.9530022
1970,253.20001,0.69560444,0,21.4,2415.2476,6.6352954,-20.680084,28.180334,44.66626254,-107.9530022
1971,304.7,0.8370879,0,17.6,2230.7583,6.128457,-22.5905,26.917831,44.66626254,-107.9530022
1972,257.80002,0.7063014,0,11.600001,2211.7466,6.05958,-23.62383,26.88658,44.66626254,-107.9530022
1973,327.5,0.89972526,0,34.100006,2077.0706,5.706238,-25.336332,28.142832,44.66626254,-107.9530022
1974,250.1,0.68708795,0,15.799999,2617.2954,7.190372,-19.99675,27.690748,44.66626254,-107.9530022
1975,352.3,0.9678571,0,24.200003,1987.9998,5.461538,-21.084251,28.386583,44.66626254,-107.9530022
1976,327.5,0.89726025,0,31.899996,2449.93,6.7121367,-20.2405,27.85325,44.66626254,-107.9530022
1977,288,0.7912088,0,17.900002,2667.0789,7.32714,-18.259253,28.428247,44.66626254,-107.9530022
1978,421,1.1565934,0,34.800003,2435.1309,6.68992,-17.050917,25.72825,44.66626254,-107.9530022
1979,207.4,0.56978023,0,23.499998,2172.0244,5.9671,-27.796755,29.028246,44.66626254,-107.9530022
1980,240.29999,0.65835613,0,11.900001,2710.8298,7.426931,-20.367582,26.863663,44.66626254,-107.9530022
1981,223.79999,0.61483514,0,16.999998,3290.31,9.039313,-22.300917,27.796999,44.66626254,-107.9530022
1982,320.2,0.8796704,0,17.8,2230.5728,6.1279473,-23.157166,27.344915,44.66626254,-107.9530022
1983,259.5,0.7129121,0,12.3,2913.848,8.005076,-12.598832,27.763666,44.66626254,-107.9530022
1984,231.80002,0.63506854,0,17.8,2262.9841,6.1999564,-31.353004,26.382414,44.66626254,-107.9530022
1985,253.2,0.6956044,0,31.4,2312.4412,6.3528605,-24.442587,26.609503,44.66626254,-107.9530022
1986,289.8,0.7961538,0,16.300001,2590.106,7.115676,-21.603003,26.278246,44.66626254,-107.9530022
1987,197.2,0.54175824,0,28.3,3052.914,8.387127,-16.603,26.10325,44.66626254,-107.9530022
1988,235.9,0.6463013,0,56.899998,3031.0237,8.304174,-16.798836,27.834501,44.66626254,-107.9530022
1989,226.40002,0.6219781,0,20.3,2535.3057,6.9651256,-30.057169,28.544912,44.66626254,-107.9530022
1990,276,0.7582418,0,14.000001,2713.0266,7.4533696,-22.661337,27.9095,44.66626254,-107.9530022
1991,265.8,0.7302197,0,16.500002,2530.3225,6.9514356,-30.834253,27.553246,44.66626254,-107.9530022
1941,449.4,1.2346153,0,27.600004,1876.4336,5.1550374,-20.051332,27.025751,42.86549612,-108.727065
1942,348.80005,0.9582419,0,20.2,1865.6729,5.125475,-27.540918,25.232,42.86549612,-108.727065
1943,290.7,0.7986264,0,18.599998,2411.0044,6.6236386,-20.276335,25.663252,42.86549612,-108.727065
1944,490.4,1.3435616,0,27.2,1696.5343,4.6480393,-19.286749,24.952835,42.86549612,-108.727065
1945,540.1,1.479726,0,26.9,1688.6653,4.62648,-17.609667,25.073664,42.86549612,-108.727065
1946,464.5,1.2760988,0,42.800003,2105.1604,5.7834077,-14.792999,26.00283,42.86549612,-108.727065
1947,473.40002,1.3005495,0,40.7,1762.3564,4.8416386,-18.545084,25.865335,42.86549612,-108.727065
1948,317.40002,0.8695891,0,22.7,2548.9592,6.98345,-23.830498,26.202837,42.86549612,-108.727065
1949,375.5,1.0315934,0,22.199999,2317.896,6.367846,-25.922165,26.736166,42.86549612,-108.727065
1950,391.6,1.0758241,0,34.3,1920.0303,5.2748084,-23.48967,22.793669,42.86549612,-108.727065
1951,334.8,0.9197802,0,21.400002,1870.103,5.1376457,-22.875084,25.460335,42.86549612,-108.727065
1952,318.19998,0.87178075,0,32.5,2078.28,5.6939178,-21.164667,24.852003,42.86549612,-108.727065
1953,313,0.8598901,0,24.700003,2244.1594,6.165273,-18.516748,25.597837,42.86549612,-108.727065
